DATAFLOW,LAST UPDATE,freq,c_birth,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,AT,2016,1588209,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,AT,2017,1649008,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,AT,2018,1690619,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,AT,2019,1722833,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,AT,2020,1760595,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,AT,2021,1792053,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,AT,2022,1834342,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,AT,2023,1963312,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BE,2016,1845631,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BE,2017,1876726,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BE,2018,1916272,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BE,2019,1968060,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BE,2020,2027763,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BE,2021,2065727,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BE,2022,2119691,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BE,2023,2246910,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BG,2016,136421,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BG,2017,145390,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BG,2018,156505,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BG,2019,171993,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BG,2020,188729,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BG,2021,201940,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BG,2022,220843,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,BG,2023,168595,b
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CH,2016,2324461,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CH,2017,2391480,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CH,2018,2432519,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CH,2019,2469381,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CH,2020,2509692,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CH,2021,2553225,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CH,2022,2598146,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CH,2023,2662038,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CY,2016,172808,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CY,2017,173791,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CY,2018,181369,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CY,2019,185528,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CY,2020,191415,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CY,2021,200936,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CY,2022,205798,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CY,2023,208843,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CZ,2016,433290,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CZ,2017,465056,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CZ,2018,467580,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CZ,2019,507051,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CZ,2020,533639,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CZ,2021,409220,b
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CZ,2022,453424,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,CZ,2023,764171,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,DE,2016,10908255,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,DE,2017,12105436,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,DE,2018,13745843,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,DE,2019,14879635,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,DE,2020,15040708,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,DE,2021,15162728,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,DE,2022,15287650,e
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,DE,2023,16476370,e
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,DK,2016,636666,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,DK,2017,668090,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,DK,2018,690549,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,DK,2019,707880,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,DK,2020,715936,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,DK,2021,721135,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,DK,2022,745851,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,DK,2023,804061,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,EE,2016,193813,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,EE,2017,192535,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,EE,2018,196207,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,EE,2019,197896,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,EE,2020,198306,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,EE,2021,198243,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,EE,2022,200583,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,EE,2023,234743,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,EL,2016,1220395,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,EL,2017,1250863,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,EL,2018,1277861,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,EL,2019,1307471,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,EL,2020,1348174,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,EL,2021,1361720,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,EL,2022,1198086,b
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,EL,2023,1173236,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,ES,2016,5918341,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,ES,2017,6024698,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,ES,2018,6198833,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,ES,2019,6538961,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,ES,2020,6996825,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,ES,2021,7214878,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,ES,2022,7365311,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,ES,2023,8204206,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,FI,2016,329219,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,FI,2017,348986,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,FI,2018,363717,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,FI,2019,377360,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,FI,2020,393555,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,FI,2021,408676,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,FI,2022,428409,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,FI,2023,461205,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,FR,2016,8028227,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,FR,2017,8098872,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,FR,2018,8199663,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,FR,2019,8428660,p
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,FR,2020,8521829,p
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,FR,2021,8670939,p
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,FR,2022,8651109,p
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,FR,2023,8942059,p
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,HR,2016,547929,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,HR,2017,539588,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,HR,2018,528982,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,HR,2019,527308,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,HR,2020,533769,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,HR,2021,532315,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,HR,2022,472308,b
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,HR,2023,490555,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,HU,2016,503787,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,HU,2017,513649,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,HU,2018,536182,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,HU,2019,564761,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,HU,2020,593937,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,HU,2021,597440,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,HU,2022,612618,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,HU,2023,644496,b
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IE,2016,773649,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IE,2017,796410,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IE,2018,811245,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IE,2019,844412,e
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IE,2020,875559,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IE,2021,883319,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IE,2022,904801,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IE,2023,1150590,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IS,2016,41853,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IS,2017,46080,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IS,2018,53540,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IS,2019,59999,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IS,2020,65205,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IS,2021,67438,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IS,2022,71767,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IS,2023,82227,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IT,2016,5907452,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IT,2017,6020614,e
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IT,2018,6175337,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IT,2019,6069000,b
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IT,2020,6161391,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IT,2021,6262207,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IT,2022,6161003,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,IT,2023,6417206,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LI,2016,24241,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LI,2017,24634,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LI,2018,25098,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LI,2019,25561,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LI,2020,26081,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LI,2021,26560,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LI,2022,26971,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LT,2016,129706,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LT,2017,127351,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LT,2018,130975,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LT,2019,138171,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LT,2020,152578,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LT,2021,165164,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LT,2022,168787,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LT,2023,231822,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LU,2016,260573,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LU,2017,270010,b
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LU,2018,280151,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LU,2019,290644,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LU,2020,301688,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LU,2021,309164,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LU,2022,318568,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LU,2023,333085,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LV,2016,258889,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LV,2017,251465,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LV,2018,246040,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LV,2019,241754,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LV,2020,236953,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LV,2021,230095,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LV,2022,223631,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,LV,2023,241096,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,MT,2016,61632,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,MT,2017,69576,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,MT,2018,83396,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,MT,2019,99555,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,MT,2020,118927,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,MT,2021,119550,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,MT,2022,122930,p
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,MT,2023,153361,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,NL,2016,2056520,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,NL,2017,2137234,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,NL,2018,2215849,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,NL,2019,2298705,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,NL,2020,2399804,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,NL,2021,2451157,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,NL,2022,2550837,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,NL,2023,2776950,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,NO,2016,774043,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,NO,2017,799797,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,NO,2018,822360,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,NO,2019,841580,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,NO,2020,867778,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,NO,2021,878153,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,NO,2022,906843,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,NO,2023,965546,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,PL,2016,626396,p
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,PL,2017,651845,ep
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,PL,2018,695850,ep
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,PL,2019,760849,
ESTAT:MIGR_POP3CTB(1.0),25/04/24 23:00:00,A,FOR,TOTAL,NR,T,PL,2020,849320,ep
